Value,Count
0,19712
4100,1
4164,18
4228,265
4292,2452
4356,10014
4420,20492
4484,28012
4548,32642
4612,37833
4676,43349
4740,48259
4804,49316
4868,52325
4932,54910
4996,56127
5060,54212
5125,50728
5189,46606
5253,44958
5317,42527
5381,40180
5445,37069
5509,35116
5573,33175
5637,31989
5701,29593
5765,27435
5829,25645
5893,24308
5957,23390
6021,22468
6085,20850
6150,19809
6214,18663
6278,18157
6342,16964
6406,16297
6470,15636
6534,15417
6598,15676
6662,15488
6726,14698
6790,14497
6854,13980
6918,14007
6982,13027
7046,12926
7110,12312
7175,12420
7239,12284
7303,12528
7367,11825
7431,11626
7495,11750
7559,12398
7623,12604
7687,12980
7751,12706
7815,13105
7879,13647
7943,14089
8007,13715
8071,14009
8135,14186
8200,15022
8264,15381
8328,15835
8392,16000
8456,16742
8520,17388
8584,18180
8648,18506
8712,19223
8776,19826
8840,20664
8904,21485
8968,21886
9032,22464
9096,23304
9160,24547
9225,25695
9289,25995
9353,26370
9417,27011
9481,27778
9545,28240
9609,28437
9673,28425
9737,29354
9801,30270
9865,30684
9929,30365
9993,29776
10057,30278
10121,31277
10185,31963
10250,32289
10314,32774
10378,33334
10442,34849
10506,35605
10570,35662
10634,36063
10698,37310
10762,38673
10826,39556
10890,39821
10954,39854
11018,40633
11082,41516
11146,42438
11210,40811
11275,41053
11339,40868
11403,41511
11467,41277
11531,40313
11595,39881
11659,40253
11723,41175
11787,41623
11851,40400
11915,41014
11979,41130
12043,42225
12107,41619
12171,41761
12235,41658
12300,42699
12364,43386
12428,43989
12492,42577
12556,41063
12620,40436
12684,40370
12748,40035
12812,39257
12876,38716
12940,38773
13004,38599
13068,38061
13132,36336
13196,35937
13260,35148
13325,35577
13389,35063
13453,35057
13517,34256
13581,33970
13645,34286
13709,34877
13773,32903
13837,32377
13901,32634
13965,33260
14029,32621
14093,32076
14157,31426
14221,31945
14285,32401
14350,32374
14414,31244
14478,31570
14542,30504
14606,30868
14670,30801
14734,29941
14798,29805
14862,30095
14926,30580
14990,31020
15054,29674
15118,29209
15182,28757
15246,29227
15310,28890
15375,28437
15439,27710
15503,28246
15567,27777
15631,27510
15695,26419
15759,26048
15823,25166
15887,25628
15951,24814
16015,24626
16079,23975
16143,23945
16207,23485
16271,24038
16335,23309
16400,22767
16464,22505
16528,22624
16592,22703
16656,21876
16720,21474
16784,21750
16848,22018
16912,22673
16976,22215
17040,21719
17104,21579
17168,22027
17232,22009
17296,21784
17360,21479
17425,21682
17489,22042
17553,22412
17617,21655
17681,21662
17745,21468
17809,21665
17873,21125
17937,21181
18001,20577
18065,20576
18129,20547
18193,21169
18257,20100
18321,19676
18385,19275
18450,19279
18514,18878
18578,18629
18642,17995
18706,17990
18770,17808
18834,17691
18898,17020
18962,16433
19026,16265
19090,15920
19154,15624
19218,15270
19282,14654
19346,14713
19410,14490
19475,14318
19539,13884
19603,13183
19667,12894
19731,12972
19795,12634
19859,12356
19923,12046
19987,12078
20051,12334
20115,12147
20179,11683
20243,11443
20307,11231
20371,11511
20435,11242
20500,10984
20564,10777
20628,10871
20692,10957
20756,10993
20820,10405
20884,10306
20948,10010
21012,10469
21076,10455
21140,10083
21204,9723
21268,9895
21332,9823
21396,9927
21460,9490
21525,9489
21589,9175
21653,9310
21717,9362
21781,9183
21845,8977
21909,9010
21973,9174
22037,9405
22101,9031
22165,8881
22229,8914
22293,8704
22357,8731
22421,8859
22485,8434
22550,8715
22614,8698
22678,8754
22742,8364
22806,8513
22870,8277
22934,8474
22998,8189
23062,8241
23126,7921
23190,7935
23254,8173
23318,8240
23382,7755
23446,7900
23510,7669
23575,7792
23639,8061
23703,7911
23767,7566
23831,7683
23895,7865
23959,7950
24023,7702
24087,7689
24151,7599
24215,7662
24279,7666
24343,7591
24407,7519
24471,7578
24535,7625
24600,7543
24664,7343
24728,7185
24792,6916
24856,6851
24920,6648
24984,6610
25048,6323
25112,6221
25176,6167
25240,5988
25304,5654
25368,5558
25432,5345
25496,5367
25560,5016
25625,4946
25689,4609
25753,4393
25817,4494
25881,4377
25945,4130
26009,4001
26073,3854
26137,3772
26201,3769
26265,3641
26329,3555
26393,3499
26457,3746
26521,3521
26585,3451
26650,3388
26714,3254
26778,3278
26842,3132
26906,3157
26970,3069
27034,3021
27098,3068
27162,3077
27226,2859
27290,2831
27354,2769
27418,2704
27482,2536
27546,2486
27610,2384
27675,2398
27739,2370
27803,2381
27867,2142
27931,2141
27995,2057
28059,1990
28123,1943
28187,1890
28251,1731
28315,1702
28379,1809
28443,1714
28507,1689
28571,1672
28635,1598
28700,1635
28764,1537
28828,1575
28892,1577
28956,1519
29020,1547
29084,1500
29148,1464
29212,1450
29276,1413
29340,1442
29404,1461
29468,1387
29532,1458
29596,1316
29660,1363
29725,1422
29789,1355
29853,1308
29917,1416
29981,1422
30045,1334
30109,1343
30173,1306
30237,1404
30301,1321
30365,1409
30429,1304
30493,1277
30557,1295
30621,1271
30685,1335
30750,1303
30814,1252
30878,1265
30942,1209
31006,1142
31070,1167
31134,1109
31198,1149
31262,1132
31326,1139
31390,1172
31454,1046
31518,1077
31582,1093
31646,1077
31710,1034
31775,1043
31839,994
31903,1017
31967,1038
32031,1019
32095,979
32159,1046
32223,1018
32287,967
32351,967
32415,989
32479,996
32543,979
32607,1038
32671,938
32735,894
32800,956
32864,996
32928,963
32992,893
33056,953
33120,987
33184,960
33248,948
33312,1007
33376,1006
33440,953
33504,964
33568,994
33632,905
33696,858
33760,906
33825,923
33889,888
33953,924
34017,882
34081,886
34145,922
34209,948
34273,880
34337,833
34401,847
34465,860
34529,836
34593,822
