Value,Count_R,Count_G,Count_B
0,5312,10240,4928
1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,6760,13808,7048
6,4311,8941,4630
7,2910,6875,3965
8,3036,7956,4920
9,4521,12924,8392
10,8424,18379,9956
11,11330,21281,9949
12,11269,20524,9255
13,10511,20104,9594
14,8668,17348,8681
15,6603,12917,6315
16,6574,12875,6300
17,5968,11465,5493
18,5227,10363,5138
19,4611,8822,4211
20,3442,6764,3322
21,3092,5687,2595
22,2611,4716,2104
23,2566,4640,2074
24,2783,4834,2050
25,2456,4141,1683
26,1197,2093,896
27,837,1557,720
28,771,1515,744
29,759,1444,685
30,729,1322,593
31,573,1028,455
32,387,736,349
33,286,551,265
34,253,456,203
35,200,345,145
36,163,283,120
37,167,287,120
38,105,206,101
39,89,172,83
40,70,126,56
41,53,98,45
42,45,70,25
43,44,82,38
44,38,75,37
45,26,51,25
46,23,52,29
47,24,51,27
48,23,61,38
49,19,38,19
50,19,33,14
51,7,17,10
52,14,31,17
53,12,21,9
54,7,13,6
55,4,7,3
56,1,6,5
57,5,8,3
58,4,13,9
59,3,10,7
60,5,7,2
61,3,7,4
62,2,5,3
63,6,11,5
64,0,0,0
65,0,0,0
66,0,0,0
67,0,0,0
68,0,0,0
69,6475,13424,6950
70,4056,8716,4659
71,2866,7037,4168
72,3040,7890,4849
73,4597,13085,8476
74,8450,18271,9822
75,11418,20985,9572
76,11063,20379,9311
77,9959,19428,9473
78,8360,16590,8232
79,6403,12380,5977
80,6500,12613,6112
81,5970,11318,5349
82,5233,10451,5220
83,4290,8331,4041
84,3370,6508,3137
85,2897,5369,2472
86,2723,4851,2129
87,2517,4547,2032
88,2558,4530,1973
89,2292,3889,1597
90,1231,2088,857
91,817,1582,765
92,751,1441,690
93,712,1395,683
94,713,1271,558
95,553,1003,450
96,367,677,310
97,278,510,232
98,235,423,188
99,176,338,163
100,127,247,120
101,146,247,101
102,94,181,87
103,87,153,66
104,49,105,56
105,61,112,51
106,44,89,45
107,35,71,36
108,35,69,34
109,19,48,29
110,26,53,27
111,25,57,32
112,26,48,22
113,18,37,19
114,15,37,22
115,17,29,12
116,17,25,8
117,11,19,8
118,9,19,10
119,4,8,4
120,9,18,9
121,5,7,2
122,2,6,4
123,3,5,2
124,7,13,6
125,1,7,6
126,6,15,9
127,4,8,4
128,0,0,0
129,0,0,0
130,0,0,0
131,0,0,0
132,0,0,0
133,6611,13557,6946
134,4148,8624,4477
135,2901,7072,4170
136,3079,8130,5052
137,4682,13055,8360
138,8982,19256,10263
139,11858,21868,10013
140,11230,20905,9674
141,9974,19570,9597
142,8115,16262,8148
143,6327,12476,6149
144,6754,13052,6295
145,5988,11625,5637
146,5480,10709,5227
147,4317,8291,3973
148,3416,6690,3274
149,2904,5383,2479
150,2710,4935,2225
151,2550,4628,2079
152,2619,4700,2083
153,2245,3922,1677
154,1174,2062,888
155,813,1571,758
156,726,1409,683
157,704,1387,683
158,681,1213,532
159,552,966,414
160,396,740,344
161,317,559,242
162,230,386,156
163,192,343,151
164,137,264,127
165,157,263,106
166,111,209,97
167,94,161,67
168,44,104,60
169,47,98,51
170,40,96,56
171,47,91,44
172,32,67,35
173,29,59,30
174,27,55,28
175,28,49,21
176,28,52,24
177,25,46,21
178,20,34,14
179,18,34,16
180,10,24,14
181,8,21,13
182,6,13,7
183,9,12,3
184,7,15,8
185,7,16,9
186,2,9,7
187,5,7,2
188,3,12,9
189,6,9,3
190,5,7,2
191,1,8,7
192,0,0,0
193,0,0,0
194,0,0,0
195,0,0,0
196,0,0,0
197,6331,13303,6974
198,3961,8465,4505
199,2787,6874,4087
200,2870,7815,4947
201,4777,13103,8316
202,9187,19623,10444
203,11826,21452,9629
204,10842,19918,9077
205,9541,18626,9085
206,7857,15561,7703
207,6426,12573,6147
208,6859,12953,6097
209,5837,11144,5310
210,5128,10138,5012
211,4063,7927,3861
212,3379,6518,3141
213,2906,5438,2532
214,2601,4724,2124
215,2435,4411,1975
216,2606,4575,1966
217,2251,3796,1545
218,1088,1956,868
219,825,1554,729
220,763,1423,660
221,708,1380,672
222,722,1281,559
223,525,978,453
224,396,709,313
225,248,473,225
226,191,379,188
227,176,336,160
228,162,306,144
229,163,272,109
230,105,203,98
231,77,146,69
232,53,110,57
233,42,76,34
234,44,84,40
235,37,81,44
236,30,58,28
237,32,63,31
238,30,52,22
239,40,72,32
240,20,44,24
241,22,44,22
242,21,39,18
243,10,23,13
244,16,31,15
245,14,22,8
246,11,22,11
247,3,7,4
248,4,11,7
249,1,7,6
250,4,11,7
251,7,10,3
252,5,15,10
253,3,10,7
254,6,12,6
255,4,7,3
256,0,0,0
257,0,0,0
258,0,0,0
259,0,0,0
260,2,3,1
261,6605,13792,7187
262,4000,8594,4594
263,2736,6892,4157
264,3023,8169,5146
265,4978,13543,8554
266,9830,20467,10638
267,11933,21623,9693
268,10405,19438,9032
269,9802,19035,9230
270,7877,15731,7854
271,6501,12564,6063
272,6842,13101,6261
273,5680,10973,5291
274,5224,10415,5190
275,4086,7957,3872
276,3506,6650,3144
277,2957,5469,2512
278,2555,4694,2139
279,2569,4589,2022
280,2709,4808,2100
281,2347,3804,1457
282,1107,1910,803
283,796,1574,778
284,694,1425,731
285,764,1447,683
286,730,1276,546
287,531,945,414
288,347,649,302
289,273,485,212
290,224,424,200
291,195,378,183
292,176,288,112
293,133,230,97
294,106,186,80
295,82,148,66
296,66,133,67
297,47,87,40
298,51,91,40
299,32,74,42
300,38,56,18
301,29,67,38
302,30,56,26
303,27,53,26
304,21,48,27
305,25,42,17
306,17,28,11
307,13,23,10
308,11,21,10
309,6,13,7
310,9,18,9
311,10,15,5
312,8,12,4
313,4,9,5
314,6,10,4
315,5,17,12
316,5,11,6
317,5,12,7
318,3,11,8
319,4,9,5
320,0,0,0
321,0,0,0
322,0,0,0
