Value,Count_R,Count_G,Count_B
0,0,9856,9856
1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,5718,25443,5376
6,5133,15408,5018
7,5167,20049,4998
8,6522,17552,6287
9,8518,26346,7965
10,7603,30417,8329
11,8765,28191,8886
12,10322,20442,10679
13,11016,12813,10904
14,10164,11035,10168
15,6562,8435,6382
16,4606,7280,4547
17,4833,6551,4789
18,4391,7241,4540
19,3479,4746,3526
20,2825,2993,2725
21,2510,1828,2420
22,2314,1027,2145
23,2132,915,2134
24,2441,950,2293
25,2072,620,2288
26,1062,367,1231
27,813,230,880
28,718,183,745
29,616,175,613
30,526,136,551
31,361,121,462
32,270,124,280
33,243,113,243
34,148,84,180
35,128,91,121
36,91,75,83
37,81,70,59
38,67,47,71
39,66,49,59
40,49,37,56
41,48,26,63
42,60,29,53
43,41,11,39
44,67,10,52
45,35,16,33
46,45,18,35
47,34,7,40
48,32,11,35
49,26,8,39
50,28,14,30
51,30,6,25
52,24,12,29
53,26,7,17
54,17,13,22
55,16,18,11
56,12,8,14
57,13,11,13
58,5,9,7
59,6,8,1
60,5,8,4
61,6,7,7
62,5,6,3
63,5,13,3
64,0,0,0
65,0,0,0
66,0,0,0
67,0,0,0
68,0,0,0
69,5948,23695,5350
70,4892,16570,4596
71,5354,19769,5075
72,6534,18337,6537
73,8329,25921,8001
74,7388,30182,8120
75,8688,26922,9025
76,10387,19872,10634
77,10634,12765,10796
78,9549,10494,9535
79,6339,7935,5982
80,4440,7257,4425
81,4840,6615,4809
82,4421,7115,4406
83,3309,4278,3302
84,2699,2769,2698
85,2423,1734,2388
86,2266,1064,2216
87,2200,904,2065
88,2460,823,2223
89,1962,595,2277
90,1016,397,1235
91,855,215,838
92,708,166,706
93,582,159,592
94,436,144,516
95,320,139,376
96,281,110,267
97,204,111,264
98,179,100,136
99,99,77,102
100,87,57,97
101,91,59,76
102,66,56,74
103,48,43,59
104,52,33,52
105,49,23,45
106,41,14,46
107,46,12,55
108,45,5,53
109,36,9,37
110,23,9,48
111,42,17,32
112,29,12,36
113,38,9,20
114,24,15,21
115,28,7,28
116,32,10,24
117,29,3,25
118,21,11,18
119,14,10,10
120,19,13,8
121,9,6,12
122,10,9,10
123,7,9,7
124,6,10,6
125,6,11,4
126,4,15,8
127,4,7,5
128,0,0,0
129,0,0,0
130,0,0,0
131,0,0,0
132,0,0,0
133,6603,22501,5977
134,4775,18045,4611
135,5678,20046,5512
136,6789,18756,6458
137,8521,26283,7825
138,7706,30945,8489
139,8920,27361,9156
140,10846,20104,10913
141,10730,12833,10759
142,9439,10219,9326
143,6175,8069,5871
144,4618,7315,4433
145,4941,6791,4804
146,4422,7251,4499
147,3357,4097,3321
148,2726,2660,2633
149,2453,1719,2416
150,2341,1081,2243
151,2232,910,2112
152,2414,794,2301
153,1906,619,2138
154,1014,373,1178
155,842,271,894
156,720,187,731
157,553,169,575
158,436,122,494
159,326,114,415
160,260,134,291
161,239,89,219
162,171,95,151
163,97,93,114
164,78,69,88
165,71,61,76
166,59,55,73
167,61,42,58
